Classification,Clustering,Classifier_Accuracy,Clustering_Accuracy,constant_threshold,resampling,feature_selection_k
Random Forest,KMeans,0.9598393574297188,0.9598393574297188,,True,16
Kernel SVM (linear),KMeans,0.6104417670682731,0.5110441767068273,,True,16
Kernel SVM (poly),KMeans,0.7911646586345382,0.7911646586345382,,True,16
Kernel SVM (rbf),KMeans,0.6696787148594378,0.6696787148594378,,True,16
Kernel SVM (sigmoid),KMeans,0.6817269076305221,0.6817269076305221,,True,16
K Nearest Neighbors,KMeans,0.5753012048192772,0.5461847389558233,,True,32
Neural Network,KMeans,0.5662650602409639,0.5662650602409639,,True,32
Random Forest,KMeans,0.9759036144578314,0.9759036144578314,,True,32
Kernel SVM (linear),KMeans,0.5843373493975904,0.4829317269076305,,True,32
Kernel SVM (poly),KMeans,0.6867469879518072,0.6867469879518072,,True,32
Kernel SVM (rbf),KMeans,0.7198795180722891,0.7198795180722891,,True,32
Kernel SVM (sigmoid),KMeans,0.6526104417670683,0.5140562248995985,,True,32
K Nearest Neighbors,KMeans,0.3614457831325301,0.36044176706827313,,True,64
Neural Network,KMeans,0.5652610441767069,0.5652610441767069,,True,64
Random Forest,KMeans,0.9819277108433736,0.9819277108433736,,True,64
Kernel SVM (linear),KMeans,0.6365461847389557,0.6365461847389557,,True,64
Kernel SVM (poly),KMeans,0.6636546184738955,0.6636546184738955,,True,64
Kernel SVM (rbf),KMeans,0.6596385542168673,0.6596385542168673,,True,64
Kernel SVM (sigmoid),KMeans,0.6124497991967872,0.6124497991967872,,True,64
K Nearest Neighbors,KMeans,0.35542168674698793,0.35542168674698793,,True,128
Neural Network,KMeans,0.42469879518072284,0.42469879518072284,,True,128
Random Forest,KMeans,0.9789156626506023,0.9789156626506023,,True,128
Kernel SVM (linear),KMeans,0.6305220883534136,0.5602409638554217,,True,128
Kernel SVM (poly),KMeans,0.4467871485943775,0.4467871485943775,,True,128
Kernel SVM (rbf),KMeans,0.5421686746987951,0.5421686746987951,,True,128
Kernel SVM (sigmoid),KMeans,0.5542168674698796,0.5542168674698796,,True,128
K Nearest Neighbors,KMeans,0.35240963855421686,0.35240963855421686,,True,256
Neural Network,KMeans,0.4939759036144578,0.4939759036144578,,True,256
Random Forest,KMeans,0.9347389558232932,0.9347389558232932,,True,256
Kernel SVM (linear),KMeans,0.4267068273092369,0.4267068273092369,,True,256
Kernel SVM (poly),KMeans,0.42771084337349397,0.42771084337349397,,True,256
Kernel SVM (rbf),KMeans,0.4929718875502009,0.4839357429718876,,True,256
Kernel SVM (sigmoid),KMeans,0.39457831325301207,0.39457831325301207,,True,256
K Nearest Neighbors,KMeans,0.6686746987951807,0.6686746987951807,,False,16
Neural Network,KMeans,0.6144578313253012,0.5943775100401606,,False,16
Random Forest,KMeans,0.8845381526104418,0.8845381526104418,,False,16
Kernel SVM (linear),KMeans,0.7068273092369478,0.677710843373494,,False,16
Kernel SVM (poly),KMeans,0.7971887550200804,0.7971887550200804,,False,16
Kernel SVM (rbf),KMeans,0.6757028112449799,0.5843373493975904,,False,16
Kernel SVM (sigmoid),KMeans,0.7449799196787149,0.7449799196787149,,False,16
K Nearest Neighbors,KMeans,0.5662650602409639,0.5140562248995985,,False,32
Neural Network,KMeans,0.5933734939759037,0.5933734939759037,,False,32
Random Forest,KMeans,0.9086345381526105,0.9086345381526105,,False,32
Kernel SVM (linear),KMeans,0.5793172690763052,0.4799196787148594,,False,32
Kernel SVM (poly),KMeans,0.7118473895582329,0.7118473895582329,,False,32
Kernel SVM (rbf),KMeans,0.7078313253012049,0.5983935742971888,,False,32
